run_id,loop,estimator,T,time,estimation_error_norm
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.20,0.196773
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.20,0.196773
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.20,0.196773
33e0cf8b (Q1),1,EKF,30.0,0.21,0.196119
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.21,0.196400
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.21,0.196273
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.21,0.196330
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.21,0.196330
33e0cf8b (Q1),1,EKF,30.0,0.22,0.205533
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.22,0.205767
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.22,0.205398
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.22,0.205607
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.22,0.205607
33e0cf8b (Q1),1,EKF,30.0,0.23,0.210936
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.23,0.211196
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.23,0.210905
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.23,0.210997
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.23,0.210997
33e0cf8b (Q1),1,EKF,30.0,0.24,0.211874
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.24,0.212358
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.24,0.211757
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.24,0.211846
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.24,0.211846
33e0cf8b (Q1),1,EKF,30.0,0.25,0.214383
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.25,0.214740
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.25,0.214194
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.25,0.214283
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.25,0.214283
33e0cf8b (Q1),1,EKF,30.0,0.26,0.217186
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.26,0.217518
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.26,0.216847
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.26,0.216944
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.26,0.216944
33e0cf8b (Q1),1,EKF,30.0,0.27,0.224551
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.27,0.224846
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.27,0.224266
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.27,0.224222
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.27,0.224222
33e0cf8b (Q1),1,EKF,30.0,0.28,0.229156
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.28,0.229513
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.28,0.228673
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.28,0.228615
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.28,0.228615
33e0cf8b (Q1),1,EKF,30.0,0.29,0.248111
33e0cf8b (Q1),1,MHE (Newton+L1AO N=10),30.0,0.29,0.248011
33e0cf8b (Q1),1,MHE (Newton+L1AO N=20),30.0,0.29,0.247336
33e0cf8b (Q1),1,MHE (Newton+L1AO N=50),30.0,0.29,0.247430
33e0cf8b (Q1),1,MHE (Newton+L1AO N=100),30.0,0.29,0.247430
