run_id,loop,estimator,T,time,estimation_error_norm
dfc77c79,1,LMHE2,1.0,0.53,0.110323
dfc77c79,1,LMHE3,1.0,0.53,0.102566
dfc77c79,1,EKF,1.0,0.54,0.103944
dfc77c79,1,LMHE1,1.0,0.54,0.105128
dfc77c79,1,LMHE2,1.0,0.54,0.119257
dfc77c79,1,LMHE3,1.0,0.54,0.115228
dfc77c79,1,EKF,1.0,0.55,0.106883
dfc77c79,1,LMHE1,1.0,0.55,0.109790
dfc77c79,1,LMHE2,1.0,0.55,0.112442
dfc77c79,1,LMHE3,1.0,0.55,0.122077
dfc77c79,1,EKF,1.0,0.56,0.102422
dfc77c79,1,LMHE1,1.0,0.56,0.105758
dfc77c79,1,LMHE2,1.0,0.56,0.106872
dfc77c79,1,LMHE3,1.0,0.56,0.114047
dfc77c79,1,EKF,1.0,0.57,0.105529
dfc77c79,1,LMHE1,1.0,0.57,0.108753
dfc77c79,1,LMHE2,1.0,0.57,0.114728
dfc77c79,1,LMHE3,1.0,0.57,0.119025
dfc77c79,1,EKF,1.0,0.58,0.118979
dfc77c79,1,LMHE1,1.0,0.58,0.123823
dfc77c79,1,LMHE2,1.0,0.58,0.137499
dfc77c79,1,LMHE3,1.0,0.58,0.140019
dfc77c79,1,EKF,1.0,0.59,0.127633
dfc77c79,1,LMHE1,1.0,0.59,0.128550
dfc77c79,1,LMHE2,1.0,0.59,0.144306
dfc77c79,1,LMHE3,1.0,0.59,0.137840
dfc77c79,1,EKF,1.0,0.60,0.129466
dfc77c79,1,LMHE1,1.0,0.60,0.131999
dfc77c79,1,LMHE2,1.0,0.60,0.123277
dfc77c79,1,LMHE3,1.0,0.60,0.138545
dfc77c79,1,EKF,1.0,0.61,0.140410
dfc77c79,1,LMHE1,1.0,0.61,0.143128
dfc77c79,1,LMHE2,1.0,0.61,0.147181
dfc77c79,1,LMHE3,1.0,0.61,0.152290
dfc77c79,1,EKF,1.0,0.62,0.168177
dfc77c79,1,LMHE1,1.0,0.62,0.167528
dfc77c79,1,LMHE2,1.0,0.62,0.201350
dfc77c79,1,LMHE3,1.0,0.62,0.184458
dfc77c79,1,EKF,1.0,0.63,0.171044
dfc77c79,1,LMHE1,1.0,0.63,0.169950
dfc77c79,1,LMHE2,1.0,0.63,0.169329
dfc77c79,1,LMHE3,1.0,0.63,0.176851
dfc77c79,1,EKF,1.0,0.64,0.166782
dfc77c79,1,LMHE1,1.0,0.64,0.165243
dfc77c79,1,LMHE2,1.0,0.64,0.171033
dfc77c79,1,LMHE3,1.0,0.64,0.167174
dfc77c79,1,EKF,1.0,0.65,0.189922
dfc77c79,1,LMHE1,1.0,0.65,0.189147
